Spark Spread (Power - Gas)

Gas price: 48.984

ProductCode  Settl.  SparkSpread
 NSBMDEC-26   87.21       38.226
   NSBQ1-27   83.25       34.266
 NSBMNOV-26   81.53       32.546
   NSBQ4-26   78.74       29.756
   NSBQ1-28   68.95       19.966
 NSBMSEP-26   67.10       18.116
 NSBMOCT-26   67.00       18.016
 NSBMJUN-26   66.00       17.016
   NSBQ3-26   59.53       10.546
 NSBMAUG-26   58.45        9.466
